Date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net_All,Dealer_Net_Ratio_All,Asset_Mgr_Net_All,Asset_Mgr_Net_Ratio_All,Lev_Money_Net_All,Lev_Money_Net_Ratio_All,Other_Rept_Net_All,Other_Rept_Net_Ratio_All,NonRept_Net_All,NonRept_Net_Ratio_All
2018-08-21,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2981,0,0,0,191,2104,1838,85,515,2270,2625,711,356,0,0.0,-191,-0.06407245890640724,266,0.08923180140892319,-430,-0.1442468970144247,355,0.11908755451190875
2018-08-28,BITCOIN-USD - CBOE FUTURES EXCHANGE,4089,55,0,92,0,809,1760,1018,1686,2099,3571,1990,518,55,0.013450721447786746,92,0.022499388603570557,-951,-0.23257520176082172,-668,-0.16336512594766447,1472,0.3599902176571289
2018-08-28,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2840,0,0,67,170,1688,1745,160,529,1981,2510,859,330,0,0.0,-103,-0.03626760563380282,-57,-0.02007042253521127,-369,-0.12992957746478873,529,0.18626760563380282
2018-09-04,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2707,0,0,99,140,1187,1657,576,532,1887,2354,820,353,0,0.0,-41,-0.015145917990395271,-470,-0.1736239379386775,44,0.01625415589213151,467,0.17251570003694125
2018-09-04,BITCOIN-USD - CBOE FUTURES EXCHANGE,3940,55,0,83,0,836,1378,908,1872,1966,3334,1974,606,55,0.013959390862944163,83,0.021065989847715735,-542,-0.13756345177664975,-964,-0.24467005076142131,1368,0.3472081218274112
2018-09-11,BITCOIN-USD - CBOE FUTURES EXCHANGE,4278,55,0,96,47,973,1499,803,1620,2353,3592,1925,686,55,0.012856474988312296,49,0.011453950444132773,-526,-0.12295465170640486,-817,-0.19097709209911173,1239,0.28962131837307153
2018-09-11,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2711,0,0,0,199,1630,1322,116,727,1968,2470,743,241,0,0.0,-199,-0.0734046477314644,308,0.11361121357432681,-611,-0.2253780892659535,502,0.18517152342309112
2018-09-18,BITCOIN-USD - CBOE FUTURES EXCHANGE,4844,55,0,78,0,1204,2063,965,1557,2877,4195,1967,649,55,0.011354252683732453,78,0.01610239471511148,-859,-0.1773327828241123,-592,-0.1222130470685384,1318,0.27208918249380676
2018-09-18,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2742,0,0,0,140,1566,1382,90,654,1884,2404,858,338,0,0.0,-140,-0.05105762217359591,184,0.06710430342815463,-564,-0.20568927789934355,520,0.18964259664478483
2018-09-25,BITCOIN-USD - CBOE FUTURES EXCHANGE,3815,55,0,27,0,721,1948,989,1017,2091,3264,1724,551,55,0.014416775884665793,27,0.007077326343381389,-1227,-0.3216251638269987,-28,-0.007339449541284404,1173,0.30747051114023594
2018-09-25,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2746,0,1,0,131,1412,1420,213,539,1957,2423,789,323,-1,-0.0003641660597232338,-131,-0.047705753823743625,-8,-0.0029133284777858705,-326,-0.11871813546977422,466,0.16970138383102695
2018-10-02,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2354,0,40,26,125,1237,1342,327,566,1613,2096,741,258,-40,-0.016992353440951572,-99,-0.04205607476635514,-105,-0.044604927782497875,-239,-0.10152931180968564,483,0.20518266779949024
2018-10-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4063,55,0,0,0,893,1809,878,1314,2181,3478,1882,585,55,0.013536795471326605,0,0.0,-916,-0.22544917548609403,-436,-0.10730986955451637,1297,0.3192222495692838
2018-10-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4028,55,0,0,0,1099,1675,706,1557,2029,3401,1999,627,55,0.01365441906653426,0,0.0,-576,-0.14299900695134063,-851,-0.2112711022840119,1372,0.34061569016881826
2018-10-09,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2848,0,76,0,121,1643,1656,395,606,2062,2483,786,365,-76,-0.026685393258426966,-121,-0.042485955056179775,-13,-0.004564606741573034,-211,-0.07408707865168539,421,0.14782303370786518
2018-10-16,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2730,0,76,54,108,1606,1620,302,556,2026,2424,704,306,-76,-0.02783882783882784,-54,-0.01978021978021978,-14,-0.005128205128205128,-254,-0.09304029304029304,398,0.1457875457875458
2018-10-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4262,55,0,29,0,1096,1723,927,1715,2362,3693,1900,569,55,0.012904739558892538,29,0.00680431722196152,-627,-0.14711403097137493,-788,-0.18488972313467855,1331,0.31229469732519943
2018-10-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,3522,55,0,0,0,631,1314,1029,1459,1954,3012,1568,510,55,0.015616127200454287,0,0.0,-683,-0.19392390687109598,-430,-0.12208972174900624,1058,0.30039750141964794
2018-10-23,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3001,0,76,0,161,1659,1400,211,531,2336,2634,665,367,-76,-0.025324891702765744,-161,-0.05364878373875375,259,0.08630456514495169,-320,-0.10663112295901367,298,0.09930023325558147
2018-10-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,3615,55,0,0,29,565,1061,1055,1662,2019,3096,1596,519,55,0.015214384508990318,-29,-0.008022130013831258,-496,-0.1372060857538036,-607,-0.16791147994467495,1077,0.2979253112033195
2018-10-30,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2608,0,0,0,238,1789,1511,184,451,2055,2282,553,326,0,0.0,-238,-0.09125766871165644,278,0.10659509202453987,-267,-0.10237730061349694,227,0.0870398773006135
2018-11-06,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2913,0,0,72,108,1877,1965,299,552,2248,2625,665,288,0,0.0,-36,-0.012358393408856848,-88,-0.030209406110538965,-253,-0.08685204256779952,377,0.12941984208719534
2018-11-06,BITCOIN-USD - CBOE FUTURES EXCHANGE,3465,55,0,31,0,335,1034,1071,1679,1796,3017,1669,448,55,0.015873015873015872,31,0.008946608946608947,-699,-0.20173160173160173,-608,-0.17546897546897547,1221,0.3523809523809524
2018-11-13,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3530,31,0,0,250,2462,2353,399,619,2893,3223,637,307,31,0.008781869688385268,-250,-0.0708215297450425,109,0.030878186968838525,-220,-0.06232294617563739,330,0.09348441926345609
2018-11-13,BITCOIN-USD - CBOE FUTURES EXCHANGE,3670,55,0,0,0,564,1119,1090,1775,2080,3265,1590,405,55,0.014986376021798364,0,0.0,-555,-0.15122615803814715,-685,-0.18664850136239783,1185,0.3228882833787466
2018-11-20,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3729,0,0,0,166,2152,1912,315,672,3066,3349,663,380,0,0.0,-166,-0.0445159560203808,240,0.06436041834271923,-357,-0.09573612228479485,283,0.07589165996245642
2018-11-20,BITCOIN-USD - CBOE FUTURES EXCHANGE,3476,55,0,0,150,483,712,1060,1935,1823,3022,1653,454,55,0.015822784810126583,-150,-0.043153049482163405,-229,-0.06588032220943614,-875,-0.2517261219792865,1199,0.3449367088607595
2018-11-27,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3791,0,0,0,238,2416,2089,261,674,3057,3381,734,410,0,0.0,-238,-0.06278026905829596,327,0.08625692429438143,-413,-0.10894223160116065,324,0.08546557636507518
2018-11-27,BITCOIN-USD - CBOE FUTURES EXCHANGE,3796,55,0,0,150,639,1022,1158,1882,2070,3272,1726,524,55,0.014488935721812434,-150,-0.03951527924130664,-383,-0.10089567966280295,-724,-0.19072708113804004,1202,0.3166491043203372
2018-12-04,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3301,0,0,34,123,2409,2317,195,465,2716,2983,585,318,0,0.0,-89,-0.02696152681005756,92,0.027870342320508938,-270,-0.08179339594062406,267,0.08088458043017267
2018-12-04,BITCOIN-USD - CBOE FUTURES EXCHANGE,3822,55,0,0,150,768,1283,1075,1677,2045,3257,1777,565,55,0.014390371533228676,-150,-0.03924646781789639,-515,-0.13474620617477762,-602,-0.1575091575091575,1212,0.31711145996860285
2018-12-11,BITCOIN-USD - CBOE FUTURES EXCHANGE,4259,55,0,0,150,739,1569,1433,1685,2448,3625,1811,634,55,0.012913829537450105,-150,-0.03521953510213665,-830,-0.19488142756515614,-252,-0.05916881897158958,1177,0.27635595210143227
2018-12-11,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3970,0,0,27,256,2905,2699,159,545,3219,3628,751,342,0,0.0,-229,-0.05768261964735517,206,0.05188916876574307,-386,-0.09722921914357682,409,0.10302267002518892
2018-12-18,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4359,0,0,138,110,3091,3213,178,605,3559,4080,800,279,0,0.0,28,0.006423491626519844,-122,-0.02798807065840789,-427,-0.09795824730442762,521,0.11952282633631567
2018-12-18,BITCOIN-USD - CBOE FUTURES EXCHANGE,4591,55,0,0,150,925,1616,1120,1915,2415,3996,2176,595,55,0.011979960792855586,-150,-0.0326726203441516,-691,-0.15051187105205838,-795,-0.1731648878240035,1581,0.34436941842735785
2018-12-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3857,0,0,101,140,2690,2577,160,673,3137,3576,720,281,0,0.0,-39,-0.01011148561057817,113,0.02929738138449572,-513,-0.1330049261083744,439,0.11381903033445682
2018-12-24,BITCOIN-USD - CBOE FUTURES EXCHANGE,3814,55,0,0,0,557,2045,1196,1124,2030,3391,1784,423,55,0.014420555846879917,0,0.0,-1488,-0.3901415836392239,72,0.018877818563188254,1361,0.35684320922915574
2018-12-31,BITCOIN-USD - CBOE FUTURES EXCHANGE,4088,55,0,0,0,661,2284,1295,1176,2211,3660,1877,428,55,0.013454011741682974,0,0.0,-1623,-0.3970156555772994,119,0.02910958904109589,1449,0.3544520547945205
2018-12-31,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3708,49,0,80,140,2452,2389,105,674,2913,3430,795,278,49,0.013214670981661273,-60,-0.016181229773462782,63,0.01699029126213592,-569,-0.1534519956850054,517,0.13942826321467097
2019-01-08,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3764,0,0,165,140,2610,2648,201,602,3044,3458,720,306,0,0.0,25,0.0066418703506907545,-38,-0.010095642933049946,-401,-0.1065356004250797,414,0.1099893730074389
2019-01-08,BITCOIN-USD - CBOE FUTURES EXCHANGE,4173,55,0,0,0,753,2395,1312,1205,2322,3802,1851,371,55,0.013179966450994488,0,0.0,-1642,-0.3934819075005991,107,0.02564102564102564,1480,0.35466091540857897
2019-01-15,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4473,0,1,27,337,3417,2923,110,608,3767,4082,706,391,-1,-0.000223563603845294,-310,-0.06930471719204113,494,0.11044042029957522,-498,-0.11133467471495641,315,0.07042253521126761
2019-01-15,BITCOIN-USD - CBOE FUTURES EXCHANGE,4388,55,0,0,0,730,2220,1378,1276,2548,3881,1840,507,55,0.01253418413855971,0,0.0,-1490,-0.33956244302643573,102,0.02324521422060164,1333,0.3037830446672744
2019-01-22,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4976,0,1,27,344,3341,2863,111,610,4293,4632,683,344,-1,-0.00020096463022508038,-317,-0.06370578778135048,478,0.09606109324758842,-499,-0.10028135048231511,339,0.06812700964630225
2019-01-22,BITCOIN-USD - CBOE FUTURES EXCHANGE,3589,55,0,0,0,554,2629,1263,382,2009,3148,1580,441,55,0.015324602953468934,0,0.0,-2075,-0.5781554750626916,881,0.24547227640011146,1139,0.3173585957091112
