Date,cot_source_report_date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net_All,Dealer_Net_Ratio_All,Asset_Mgr_Net_All,Asset_Mgr_Net_Ratio_All,Lev_Money_Net_All,Lev_Money_Net_Ratio_All,Other_Rept_Net_All,Other_Rept_Net_Ratio_All,NonRept_Net_All,NonRept_Net_Ratio_All,cot_age_days
2020-11-27,2020-11-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12336.0,0.0,643.0,668.0,0.0,5441.0,9864.0,2381.0,300.0,9232.0,11549.0,3104.0,787.0,-643.0,-0.052123865110246435,668.0,0.05415045395590143,-4423.0,-0.35854409857328146,2081.0,0.16869325551232167,2317.0,0.1878242542153048,3.0
2020-11-28,2020-11-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12336.0,0.0,643.0,668.0,0.0,5441.0,9864.0,2381.0,300.0,9232.0,11549.0,3104.0,787.0,-643.0,-0.052123865110246435,668.0,0.05415045395590143,-4423.0,-0.35854409857328146,2081.0,0.16869325551232167,2317.0,0.1878242542153048,4.0
2020-11-29,2020-11-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12336.0,0.0,643.0,668.0,0.0,5441.0,9864.0,2381.0,300.0,9232.0,11549.0,3104.0,787.0,-643.0,-0.052123865110246435,668.0,0.05415045395590143,-4423.0,-0.35854409857328146,2081.0,0.16869325551232167,2317.0,0.1878242542153048,5.0
2020-11-30,2020-11-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12336.0,0.0,643.0,668.0,0.0,5441.0,9864.0,2381.0,300.0,9232.0,11549.0,3104.0,787.0,-643.0,-0.052123865110246435,668.0,0.05415045395590143,-4423.0,-0.35854409857328146,2081.0,0.16869325551232167,2317.0,0.1878242542153048,6.0
2020-12-01,2020-12-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11812.0,28.0,643.0,626.0,0.0,4509.0,9375.0,2442.0,460.0,8478.0,11351.0,3334.0,461.0,-615.0,-0.052065695902472064,626.0,0.05299695225194717,-4866.0,-0.41195394514053507,1982.0,0.167795462241788,2873.0,0.24322722654927192,0.0
2020-12-02,2020-12-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11812.0,28.0,643.0,626.0,0.0,4509.0,9375.0,2442.0,460.0,8478.0,11351.0,3334.0,461.0,-615.0,-0.052065695902472064,626.0,0.05299695225194717,-4866.0,-0.41195394514053507,1982.0,0.167795462241788,2873.0,0.24322722654927192,1.0
2020-12-03,2020-12-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11812.0,28.0,643.0,626.0,0.0,4509.0,9375.0,2442.0,460.0,8478.0,11351.0,3334.0,461.0,-615.0,-0.052065695902472064,626.0,0.05299695225194717,-4866.0,-0.41195394514053507,1982.0,0.167795462241788,2873.0,0.24322722654927192,2.0
2020-12-04,2020-12-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11812.0,28.0,643.0,626.0,0.0,4509.0,9375.0,2442.0,460.0,8478.0,11351.0,3334.0,461.0,-615.0,-0.052065695902472064,626.0,0.05299695225194717,-4866.0,-0.41195394514053507,1982.0,0.167795462241788,2873.0,0.24322722654927192,3.0
2020-12-05,2020-12-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11812.0,28.0,643.0,626.0,0.0,4509.0,9375.0,2442.0,460.0,8478.0,11351.0,3334.0,461.0,-615.0,-0.052065695902472064,626.0,0.05299695225194717,-4866.0,-0.41195394514053507,1982.0,0.167795462241788,2873.0,0.24322722654927192,4.0
2020-12-06,2020-12-01,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11812.0,28.0,643.0,626.0,0.0,4509.0,9375.0,2442.0,460.0,8478.0,11351.0,3334.0,461.0,-615.0,-0.052065695902472064,626.0,0.05299695225194717,-4866.0,-0.41195394514053507,1982.0,0.167795462241788,2873.0,0.24322722654927192,5.0
