bucket_family,bucket,transition_type,rank_reason,run_seed,sample_index,Date_stage2,future_return_stage2,prob_up_stage2,prob_up_stage4,prob_up_delta,pred_class_stage2,pred_class_stage4,correct_stage2,correct_stage4,context__funding_rate_mean_20_normalized,context__funding_rate_max_7_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_lev_money_net_ratio_normalized
cftc_oi_change_20_low20,yes,correction,largest_abs_prob_up_delta,42,1290,2021-11-09T00:00:00,-0.1369937351059021,0.5190629959106445,0.4986518323421478,-0.020411163568496704,1,0,False,True,0.478501077915661,-0.0070538615410718,-2.759836687106325,-0.8027939430802651,-1.1113172260648307
cftc_oi_change_20_low20,yes,correction,largest_abs_prob_up_delta,42,2171,2024-04-08T00:00:00,-0.1187012007819044,0.5024409294128418,0.4840215444564819,-0.01841938495635992,1,0,False,True,0.7294080928253545,0.596891363126222,-2.759836687106325,-0.8581663059975484,-1.664931803876669
cftc_oi_change_20_low20,yes,correction,largest_abs_prob_up_delta,43,1684,2022-12-08T00:00:00,-0.0392931996446836,0.5050923228263855,0.489188402891159,-0.015903919935226496,1,0,False,True,-0.2427210937851898,-0.5081047145983825,-2.759836687106325,-1.340832666777632,0.1986427685302682
cftc_oi_change_20_low20,yes,regression,largest_abs_prob_up_delta,43,1149,2021-06-21T00:00:00,0.0838389657606251,0.5070498585700989,0.4854420125484466,-0.021607846021652277,1,0,True,False,-0.7311449144225417,-0.5081047145983825,-2.759836687106325,-0.10070226838468,-0.6385361199146621
cftc_oi_change_20_low20,yes,regression,largest_abs_prob_up_delta,43,1396,2022-02-23T00:00:00,0.0545052202670548,0.5011399984359741,0.4837714433670044,-0.017368555068969727,1,0,True,False,-0.0802532223773839,-0.5081047145983825,-2.759836687106325,-0.8970052885856589,-1.2379317777175545
cftc_oi_change_20_low20,yes,regression,largest_abs_prob_up_delta,42,1719,2023-01-12T00:00:00,0.2592528527661724,0.50836580991745,0.4912788271903991,-0.017086982727050837,1,0,True,False,-0.0409115125427528,-0.5081047145983825,-2.759836687106325,-1.233054882355941,0.5343895067071786
cftc_oi_change_20_low20,yes,regression,largest_abs_prob_up_delta,43,1782,2023-03-16T00:00:00,0.1268553905430585,0.5038511753082275,0.4870243370532989,-0.016826838254928644,1,0,True,False,-0.5633209593419625,-0.5081047145983825,-2.759836687106325,-1.144467812845237,-0.1599603937371581
cftc_oi_change_20_low20,yes,regression,largest_abs_prob_up_delta,42,2262,2024-07-08T00:00:00,0.2033912948724685,0.5006378889083862,0.4848798811435699,-0.01575800776481634,1,0,True,False,0.0044239099733228,-0.5081047145983825,-2.759836687106325,-1.8241101469382293,-2.463738670193471
cftc_oi_zscore_60_high20,yes,correction,largest_abs_prob_up_delta,43,2229,2024-06-05T00:00:00,-0.1308149575293918,0.518187403678894,0.4912634491920471,-0.026923954486846924,1,0,False,True,0.2133111732119732,-0.5081047145983825,3.3873391643454656,1.0701561687236347,-2.0155994202039813
cftc_oi_zscore_60_high20,yes,correction,largest_abs_prob_up_delta,43,2226,2024-06-02T00:00:00,-0.0517020206260903,0.5061460733413696,0.4814895987510681,-0.024656474590301514,1,0,False,True,0.199665912426542,-0.4350347985275246,3.3873391643454656,0.844477829060228,-2.0155994202039813
cftc_oi_zscore_60_high20,yes,correction,largest_abs_prob_up_delta,42,2167,2024-04-04T00:00:00,-0.0612985175897776,0.5011084675788879,0.4843290746212005,-0.016779392957687433,1,0,False,True,0.75172510812863,0.596891363126222,3.3873391643454656,0.964423709277531,1.5790600826728556
cftc_oi_zscore_60_high20,yes,correction,largest_abs_prob_up_delta,43,2156,2024-03-24T00:00:00,-0.0488838043273032,0.5064054131507874,0.4908072352409363,-0.015598177909851074,1,0,False,True,0.8993999865354265,-0.4931924868288195,3.3873391643454656,1.4684036581267654,1.6494701434625816
cftc_oi_zscore_60_high20,yes,correction,largest_abs_prob_up_delta,43,1283,2021-11-02T00:00:00,-0.110294386316733,0.5019442439079285,0.4868790209293365,-0.015065222978591974,1,0,False,True,0.4763331392861871,-0.2486319514079894,3.3873391643454656,1.1597845167528116,-0.9302739438884522
cftc_oi_zscore_60_high20,yes,regression,largest_abs_prob_up_delta,43,2379,2024-11-02T00:00:00,0.4254756125932868,0.5024659037590027,0.4733363687992096,-0.02912953495979309,1,0,True,False,0.3006663473990794,-0.1681059214523502,3.3873391643454656,1.3171953729491768,-1.698739224182915
cftc_oi_zscore_60_high20,yes,regression,largest_abs_prob_up_delta,43,1240,2021-09-20T00:00:00,0.2706779537293662,0.5179932713508606,0.4914480745792389,-0.026545196771621704,1,0,True,False,0.0505882502006439,-0.5081047145983825,1.5427741827188104,0.7286436591932982,-2.207940026552597
cftc_oi_zscore_60_high20,yes,regression,largest_abs_prob_up_delta,43,2404,2024-11-27T00:00:00,0.1071385019743258,0.5037149786949158,0.4830676615238189,-0.020647317171096857,1,0,True,False,0.5369716580102868,0.0794370595223924,3.3873391643454656,1.0194098454839415,-1.281820192968358
cftc_oi_zscore_60_high20,yes,regression,largest_abs_prob_up_delta,43,1665,2022-11-19T00:00:00,0.0256205136557314,0.5013471245765686,0.4809154272079468,-0.020431697368621826,1,0,True,False,-0.9930829111821844,-0.5081047145983825,3.3873391643454656,2.380596496189446,0.4799776322021301
cftc_oi_zscore_60_high20,yes,regression,largest_abs_prob_up_delta,43,2384,2024-11-07T00:00:00,0.2637197000865698,0.5153890252113342,0.4950807094573974,-0.020308315753936823,1,0,True,False,0.3020053683172759,-0.4767890362823004,3.3873391643454656,1.2428800067676076,-1.698739224182915
lev_money_net_ratio_high20,yes,correction,largest_abs_prob_up_delta,43,1657,2022-11-11T00:00:00,-0.0054445408431365,0.5098356008529663,0.485210508108139,-0.024625092744827326,1,0,False,True,-0.3736900921650144,-0.5081047145983825,-1.1344877049722104,-0.297868494831528,0.172890633406062
