feature,normalized_column,group,missing_rate_all,missing_rate_train,missing_rate_validation,missing_rate_test,train_mean,train_std,train_unique,train_corr_label,train_spearman_label,train_corr_future_return,train_spearman_future_return,train_spearman_end_index,train_abs_spearman_end_index,train_univariate_auc,train_univariate_auc_lift,train_abs_auc_lift,test_spearman_stage2_error_rate,test_abs_spearman_stage2_error_rate,test_spearman_stage2_uncertainty,test_abs_spearman_stage2_uncertainty,train_only_candidate_score
funding_rate_abs_mean_7,funding_rate_abs_mean_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058722,603,-0.10912885497834734,-0.1506692694436282,-0.11404872440588254,-0.19032342368792518,-0.43420527770081324,0.43420527770081324,0.41257470521725087,-0.08742529478274913,0.08742529478274913,0.043898552479048406,0.043898552479048406,0.04030904957870684,0.04030904957870684,0.19032342368792518
funding_rate_abs_mean_20,funding_rate_abs_mean_20_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058735,614,-0.10896297026792284,-0.16244543788341226,-0.11915178610705478,-0.18385879566042806,-0.5280412313877508,0.5280412313877508,0.4057413090687198,-0.0942586909312802,0.0942586909312802,0.023854561982724908,0.023854561982724908,0.00952499652759146,0.00952499652759146,0.1885173818625604
cot_asset_mgr_net_ratio,cot_asset_mgr_net_ratio_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,4.235724207213712e-17,1.0007459904058718,133,0.09842137337845656,0.10105222274383242,0.18637373357694714,0.14974998182991656,0.5003414195164516,0.5003414195164516,0.5586335002422872,0.058633500242287195,0.058633500242287195,-0.003367968683893943,0.003367968683893943,0.03336670129724273,0.03336670129724273,0.18637373357694714
cot_dealer_net_ratio,cot_dealer_net_ratio_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,2.117862103606856e-17,1.0007459904058733,98,-0.13111551156937687,-0.10248756827285815,-0.17883332767157167,-0.13177910117313926,-0.3033463466429363,0.3033463466429363,0.44122292216299647,-0.05877707783700353,0.05877707783700353,0.10859568511714407,0.10859568511714407,-0.0997897284597174,0.0997897284597174,0.17883332767157167
bitmex_turnover_mean_7,bitmex_turnover_mean_7_normalized,bitmex_activity,0.0,0.0,0.0,0.0,1.6942896828854848e-16,1.0007459904058735,659,-0.09058682539839581,-0.10089423829733461,-0.13431434744360402,-0.16386847385596312,-0.576759782732186,0.576759782732186,0.4414562357544105,-0.05854376424558949,0.05854376424558949,-0.014496262068085084,0.014496262068085084,-0.15592656552356493,0.15592656552356493,0.16386847385596312
bitmex_trades_mean_7,bitmex_trades_mean_7_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-6.353586310820568e-17,1.0007459904058733,659,-0.08811432285435267,-0.09760017441668899,-0.12730783630738876,-0.16101534753972202,-0.13674427106702433,0.13674427106702433,0.44336761248407186,-0.05663238751592814,0.05663238751592814,0.03024968817385809,0.03024968817385809,-0.0506240167582569,0.0506240167582569,0.16101534753972202
bitmex_homenotional_mean_60,bitmex_homenotional_mean_60_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-4.235724207213712e-17,1.0007459904058735,659,-0.16093462414866144,-0.13737638240270134,-0.1553896695809534,-0.1605486312064931,-0.6213863643842162,0.6213863643842162,0.42028751413341947,-0.07971248586658053,0.07971248586658053,0.05114588138072128,0.05114588138072128,-0.16802346647286684,0.16802346647286684,0.16093462414866144
bitmex_turnover_mean_60,bitmex_turnover_mean_60_normalized,bitmex_activity,0.0,0.0,0.0,0.0,1.6942896828854848e-16,1.0007459904058733,659,-0.16093462414866047,-0.13737638240270134,-0.1553896695809523,-0.1605486312064931,-0.6213863643842162,0.6213863643842162,0.42028751413341947,-0.07971248586658053,0.07971248586658053,0.05114588138072128,0.05114588138072128,-0.16802346647286684,0.16802346647286684,0.16093462414866047
cot_open_interest_pct_change_60,cot_open_interest_pct_change_60_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,2.117862103606856e-17,1.0007459904058738,254,-0.09744234254956369,-0.1090119040312365,-0.13595430384877225,-0.1489696462278311,0.09390277159569235,0.09390277159569235,0.4367495827276154,-0.06325041727238462,0.06325041727238462,-0.019208307391240274,0.019208307391240274,-0.04762675227956525,0.04762675227956525,0.1489696462278311
bitmex_trades_mean_20,bitmex_trades_mean_20_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-2.117862103606856e-16,1.000745990405873,659,-0.04911833850013717,-0.1035542335436776,-0.08836114544628772,-0.14108314414449333,-0.10698830452568137,0.10698830452568137,0.4399127766112098,-0.06008722338879019,0.06008722338879019,0.03621915696691239,0.03621915696691239,-0.10175713517008789,0.10175713517008789,0.14108314414449333
funding_rate_min_20,funding_rate_min_20_normalized,bitmex_funding,0.0,0.0,0.0,0.0,6.353586310820568e-17,1.000745990405872,102,-0.1372524072390981,-0.10115789779840093,-0.10224365391769857,-0.10927692138032792,0.5565171136890391,0.5565171136890391,0.44132611855919884,-0.05867388144080116,0.05867388144080116,-0.03857218648626246,0.03857218648626246,-0.022322288930963753,0.022322288930963753,0.1372524072390981
