feature,family,source_feature,num_rows_all,missing_rate_all,missing_rate_train,train_mean,train_std,train_unique,train_corr_label,train_abs_corr_label,train_corr_future_return,train_abs_corr_future_return,train_spearman_future_return,train_abs_spearman_future_return,test_corr_stage2_error_rate,test_abs_corr_stage2_error_rate,test_corr_stage2_prob_up_mean,test_abs_corr_stage2_prob_up_mean,test_corr_stage2_uncertainty,test_abs_corr_stage2_uncertainty,train_only_candidate_score
news__news_svd_60d_15_normalized,news,news_svd_60d_15_normalized,2399,0.0,0.0,5.29465525901714e-18,1.0007459904058746,659,0.08048031098867024,0.08048031098867024,-0.002013827726539728,0.002013827726539728,0.15101820424088055,0.15101820424088055,0.045558310301006315,0.045558310301006315,-0.09519179249894885,0.09519179249894885,0.20324342860592332,0.20324342860592332,0.15101820424088055
news__news_svd_60d_06_normalized,news,news_svd_60d_06_normalized,2399,0.0,0.0,0.0,1.0007459904058733,659,0.1303756358387358,0.1303756358387358,0.11177569993529013,0.11177569993529013,0.1510038651263022,0.1510038651263022,0.0050343252659356885,0.0050343252659356885,0.08551520427360676,0.08551520427360676,-0.10590927758905705,0.10590927758905705,0.1510038651263022
technical__bb_bandwidth_60_normalized,technical,bb_bandwidth_60_normalized,2399,0.0,0.0,-4.765189733115426e-16,1.000745990405873,659,0.05625375790401237,0.05625375790401237,0.15096221711020033,0.15096221711020033,0.08252319321997746,0.08252319321997746,0.02462292629265165,0.02462292629265165,0.20991161503616476,0.20991161503616476,-0.13603002957411828,0.13603002957411828,0.15096221711020033
fsi__ofr_fsi_mean_60_normalized,fsi,ofr_fsi_mean_60_normalized,2399,0.0,0.0,-8.471448414427424e-17,1.0007459904058738,491,0.09467524468660805,0.09467524468660805,0.11872112212480557,0.11872112212480557,0.14689556305744744,0.14689556305744744,-0.011174221065987568,0.011174221065987568,-0.10829158253030684,0.10829158253030684,0.14630234876774142,0.14630234876774142,0.14689556305744744
news__news_svd_7d_24_normalized,news,news_svd_7d_24_normalized,2399,0.0,0.0,-1.058931051803428e-17,1.000745990405874,654,0.13707231207348666,0.13707231207348666,0.13614694133584176,0.13614694133584176,0.1450272817061086,0.1450272817061086,0.009302387581144185,0.009302387581144185,-0.09531676886151388,0.09531676886151388,0.08466089071033364,0.08466089071033364,0.1450272817061086
news__news_svd_20d_19_normalized,news,news_svd_20d_19_normalized,2399,0.0,0.0,-1.588396577705142e-17,1.000745990405874,656,0.14109647528585056,0.14109647528585056,0.12105008938964303,0.12105008938964303,0.14376329179616867,0.14376329179616867,-0.1041011700971842,0.1041011700971842,-0.11868619883019499,0.11868619883019499,0.014171152300752485,0.014171152300752485,0.14376329179616867
news__news_svd_20d_05_normalized,news,news_svd_20d_05_normalized,2399,0.0,0.0,8.471448414427424e-17,1.0007459904058729,656,0.06559672299118494,0.06559672299118494,0.14283778323582644,0.14283778323582644,0.12588126348861897,0.12588126348861897,-0.02063951454989419,0.02063951454989419,-0.07257190551482695,0.07257190551482695,-0.06391933738534845,0.06391933738534845,0.14283778323582644
news__news_svd_20d_22_normalized,news,news_svd_20d_22_normalized,2399,0.0,0.0,1.588396577705142e-17,1.0007459904058735,656,0.141127403058027,0.141127403058027,0.02230090487892377,0.02230090487892377,0.0591587000917384,0.0591587000917384,0.01841090506747432,0.01841090506747432,0.048153616403225755,0.048153616403225755,0.08927214272257523,0.08927214272257523,0.141127403058027
roro__riskoff_dollar_return_20_normalized,roro,riskoff_dollar_return_20_normalized,2399,0.0,0.0,-8.471448414427424e-17,1.0007459904058729,585,-0.031034256422264383,0.031034256422264383,-0.14049868151222736,0.14049868151222736,-0.12395746526318982,0.12395746526318982,-0.11334394088412525,0.11334394088412525,-0.09814302547746677,0.09814302547746677,-0.01481638237851874,0.01481638237851874,0.14049868151222736
news__news_svd_60d_08_normalized,news,news_svd_60d_08_normalized,2399,0.0,0.0,7.94198288852571e-18,1.0007459904058735,659,-0.1395057005891735,0.1395057005891735,-0.12173629519983889,0.12173629519983889,-0.14038700197801077,0.14038700197801077,0.07641653880799802,0.07641653880799802,0.2192514031329244,0.2192514031329244,-0.209370997820629,0.209370997820629,0.14038700197801077
news__news_svd_7d_16_normalized,news,news_svd_7d_16_normalized,2399,0.0,0.0,-1.058931051803428e-17,1.0007459904058744,651,0.11561926338542237,0.11561926338542237,0.11611275688382755,0.11611275688382755,0.1366077651398384,0.1366077651398384,0.07626146479998613,0.07626146479998613,-0.0486208567710667,0.0486208567710667,0.052689787804731845,0.052689787804731845,0.1366077651398384
news__news_svd_7d_10_normalized,news,news_svd_7d_10_normalized,2399,0.0,0.0,0.0,1.0007459904058735,651,0.09305875747520059,0.09305875747520059,0.13196469686516718,0.13196469686516718,0.1348852837951363,0.1348852837951363,0.07421861019547331,0.07421861019547331,0.05470621586600209,0.05470621586600209,0.029594581425466136,0.029594581425466136,0.1348852837951363
news__news_svd_20d_29_normalized,news,news_svd_20d_29_normalized,2399,0.0,0.0,-2.53150704571757e-17,1.0007459904058718,656,-0.04046976150762019,0.04046976150762019,-0.1314568909788595,0.1314568909788595,-0.09974415503568868,0.09974415503568868,-0.02455157633150696,0.02455157633150696,-0.09140372790838694,0.09140372790838694,0.08833684468119894,0.08833684468119894,0.1314568909788595
news__news_svd_7d_29_normalized,news,news_svd_7d_29_normalized,2399,0.0,0.0,1.853129340655999e-17,1.000745990405873,651,-0.13072282542147157,0.13072282542147157,-0.10477119136015893,0.10477119136015893,-0.10757899934387571,0.10757899934387571,-0.014839546360756187,0.014839546360756187,-0.09252549525460813,0.09252549525460813,0.0765562285808382,0.0765562285808382,0.13072282542147157
news__news_svd_60d_26_normalized,news,news_svd_60d_26_normalized,2399,0.0,0.0,7.94198288852571e-18,1.0007459904058738,659,-0.12958611154442934,0.12958611154442934,-0.024771244289239262,0.024771244289239262,-0.05471393029493659,0.05471393029493659,0.036732538999633225,0.036732538999633225,-0.29368138130847354,0.29368138130847354,0.2442980741826939,0.2442980741826939,0.12958611154442934
news__news_svd_7d_08_normalized,news,news_svd_7d_08_normalized,2399,0.0,0.0,0.0,1.0007459904058744,651,-0.12236145767235142,0.12236145767235142,-0.12906251369126312,0.12906251369126312,-0.11362017616108852,0.11362017616108852,0.013959721517894519,0.013959721517894519,-0.035574184810754424,0.035574184810754424,-0.004908009381322451,0.004908009381322451,0.12906251369126312
technical__bb_percent_b_60_normalized,technical,bb_percent_b_60_normalized,2399,0.0,0.0,2.9650069450495986e-16,1.000745990405874,659,0.05335498407695768,0.05335498407695768,0.12872481144537495,0.12872481144537495,0.05446261844469495,0.05446261844469495,-0.040195243094492863,0.040195243094492863,0.028196372620608322,0.028196372620608322,0.05200708932688898,0.05200708932688898,0.12872481144537495
