split,window_days,feature,mean,std,min,max
validation,20,news_svd_20d_26,-0.003145449315064392,0.11027213799486467,-0.2610266219021949,0.2992514412080131
validation,20,news_svd_20d_27,-0.0074916964821751045,0.10033096715754902,-0.25355738335642164,0.2939147278727031
validation,20,news_svd_20d_28,0.0015336581901255573,0.09949982532180907,-0.22497620611174252,0.2802576994161258
validation,20,news_svd_20d_29,-0.00040204932274418535,0.10152596823019312,-0.24178602673694347,0.24711638366148775
validation,20,news_svd_20d_30,0.0002975121704558364,0.10198834389716042,-0.21923433571226933,0.2891840778739129
validation,20,news_svd_20d_31,-0.008672446003845254,0.10032408011530858,-0.22328780360241143,0.23245543363724228
validation,60,news_svd_60d_00,0.5265928558473046,0.04908112857116249,0.4301729335563775,0.6151006662944029
validation,60,news_svd_60d_01,-0.01711122230389191,0.2478332483624328,-0.2773944458634576,0.4640029076725545
validation,60,news_svd_60d_02,0.024838437407073137,0.22730323993188567,-0.3915546421379164,0.3920132039487152
validation,60,news_svd_60d_03,-0.015199121985157401,0.2152856218829622,-0.3485059411606205,0.4099900358619343
validation,60,news_svd_60d_04,0.007691851532240981,0.21640897482564225,-0.3690721532693598,0.3682661688508778
validation,60,news_svd_60d_05,0.0020951104474767647,0.20299109747426677,-0.3612546406827255,0.4136776603363902
validation,60,news_svd_60d_06,-0.0023711234586774824,0.18989971756522817,-0.40812577404122485,0.461854003284456
validation,60,news_svd_60d_07,0.0028884467679995704,0.18261443474229203,-0.3397496139011848,0.3853588539158547
validation,60,news_svd_60d_08,-0.014489459491401924,0.18538387226832362,-0.3353799368651842,0.37385551610339973
validation,60,news_svd_60d_09,0.004641325436979106,0.1646398401877642,-0.3779669571192469,0.4220561362696177
validation,60,news_svd_60d_10,-0.005300543095193117,0.17705613503328219,-0.35944242140055743,0.3723064197485404
validation,60,news_svd_60d_11,-0.0059592567895759745,0.17199115681936458,-0.2814285102082045,0.2996466092337889
validation,60,news_svd_60d_12,-0.005385628362530049,0.162575430173503,-0.38520930876032466,0.47731906940378416
