Date,AdrActCnt,TxCnt,HashRate
2023-01-25,912032,306272,327010528.27306205
2023-01-26,892287,297461,289637896.2397839
2023-01-27,929064,305372,287769263.1581637
2023-01-28,857014,268374,313930107.46503913
2023-01-29,829895,258804,311438925.8972278
2023-01-30,957363,311188,269948141.5759668
2023-01-31,944348,312359,224956785.116114
2023-02-01,1050528,343824,267991996.86764717
2023-02-02,983946,335421,283641162.9847545
2023-02-03,988867,317695,260167412.4006684
2023-02-04,961115,302062,266035849.34247735
2023-02-05,802171,256347,297334187.2103925
2023-02-06,920525,304492,289509602.7434137
2023-02-07,944049,303225,277772726.04294556
2023-02-08,942153,315120,269948141.5759668
2023-02-09,1056974,363668,316895645.56098926
2023-02-10,923753,302716,287553455.21824396
2023-02-11,896301,281958,289509602.7434137
2023-02-12,861493,256348,315851203.95835894
2023-02-13,957593,297879,303650130.99469703
2023-02-14,913570,305330,299757180.2739148
2023-02-15,993456,325059,317275457.1159728
2023-02-16,1118226,341817,348419062.8822308
2023-02-17,1050009,322140,321168407.83675504
2023-02-18,1046593,273988,327007835.31939054
2023-02-19,928713,244509,315328983.1570438
2023-02-20,908106,267205,286131854.15263903
2023-02-21,1012926,293613,325061358.55753726
2023-02-22,931144,277803,272506528.0313633
2023-02-23,1071298,291650,332847259.99910176
2023-02-24,964247,298377,262774152.63086984
2023-02-25,811239,259206,228809606.1413121
2023-02-26,905055,271471,359556659.2106422
2023-02-27,982682,296912,299630547.8012448
2023-02-28,983627,335341,293209894.2181328
2023-03-01,1076257,377754,363837095.9600217
2023-03-02,939444,330024,308191421.3000036
2023-03-03,1086253,355066,359556659.2106422
2023-03-04,905589,306924,325313168.2975212
2023-03-05,995537,287178,331733821.8806332
2023-03-06,931807,318245,282508803.88564134
2023-03-07,1063023,360867,353136002.54561603
2023-03-08,885079,290018,284649020.719374
2023-03-09,929904,339133,288929457.46875334
2023-03-10,979055,322995,291688415.56457573
2023-03-11,982511,323403,357219694.8827461
2023-03-12,886609,263955,348559825.89122087
2023-03-13,999918,335201,339899953.782142
2023-03-14,1024780,327923,316085307.04095167
2023-03-15,1006730,343857,318250273.50944453
2023-03-16,879957,295146,290105693.8312686
2023-03-17,1085422,339244,318250273.50944453
2023-03-18,955447,293458,350724792.35971373
2023-03-19,845573,271293,320415243.0954912
2023-03-20,1014355,337263,333405048.1415559
2023-03-21,990544,331907,313920337.4549051
2023-03-22,940276,296448,344229889.8366814
2023-03-23,902932,292159,398970829.72571325
2023-03-24,893101,294570,377232885.4931153
2023-03-25,898042,287422,337646717.00662136
2023-03-26,851151,266890,335318120.43832463
2023-03-27,1057595,295339,344632513.417874
2023-03-28,982699,317587,312032141.34263265
2023-03-29,977852,328588,342303913.49639606
2023-03-30,1021839,331354,360932699.4554946
2023-03-31,1043754,308895,328332327.38025326
2023-04-01,1038858,316521,326003727.45877534
2023-04-02,1012005,342161,346961109.9861707
2023-04-03,985157,336905,305046344.9313801
2023-04-04,1108155,419443,377232885.4931153
2023-04-05,964688,345029,323675130.8904786
2023-04-06,1022873,352346,375586794.88083017
2023-04-07,956362,351639,338032941.7856073
2023-04-08,885739,325340,349935509.40998685
2023-04-09,936112,277152,347554997.25628686
2023-04-10,947327,292988,292803183.44178885
2023-04-11,1146146,375758,366599104.7697063
2023-04-12,1056542,344791,380882187.97572565
2023-04-13,1009669,326572,338032941.7856073
2023-04-14,1016042,316304,333271914.0502675
2023-04-15,1045660,275326,376121160.24038583
2023-04-16,840992,235578,295183695.5954889
2023-04-17,984242,316549,368979620.3513461
2023-04-18,1149264,313000,395165271.18174493
2023-04-19,985732,298359,330891401.89656746
2023-04-20,951443,297440,319518832.834664
2023-04-21,1015546,352999,351118489.414672
2023-04-22,914896,356615,360804517.52650416
2023-04-23,840711,434101,355961503.4705881
2023-04-24,998948,358615,341432464.7898097
2023-04-25,895988,373152,302688355.8294509
2023-04-26,893248,433927,314795889.2257562
2023-04-27,892914,419005,314795889.2257562
2023-04-28,957827,484327,355961503.4705881
2023-04-29,803633,487346,331746436.67797756
2023-04-30,767567,561448,358383012.24203104
2023-05-01,929691,685711,440714244.2186647
2023-05-02,820724,460621,312374380.4543132
2023-05-03,953701,488518,341432464.7898097
2023-05-04,914598,490738,351712781.63476974
2023-05-05,822037,411057,283977798.860469
2023-05-06,764917,603617,355568839.3482855
2023-05-07,549932,614264,331705160.33113664
2023-05-08,696710,573864,326932423.8404329
2023-05-09,772112,592036,360341575.83898926
2023-05-10,891517,672910,405682570.78249
2023-05-11,831417,544837,360341575.83898926
2023-05-12,809188,508450,336477896.82184047
