bucket_family,bucket,n,stage2_acc,film_acc,delta_acc,corrections,regressions,net_corrections,correction_rate,regression_rate,net_correction_rate,changed_predictions,changed_prediction_rate,label_positive_rate,stage2_pred_up_rate,film_pred_up_rate,mean_stage2_prob_up,mean_film_prob_up,mean_prob_up_delta,mean_true_prob_delta
fg_regime,greed,2120,0.5910377358490566,0.6018867924528302,0.010849056603773555,46,23,23,0.02169811320754717,0.010849056603773584,0.010849056603773584,69,0.032547169811320754,0.5259433962264151,0.6528301886792452,0.6202830188679245,0.5893950557388927,0.5717699016312594,-0.0176251541076333,0.00035107227587053227
fg_regime,neutral,1185,0.5873417721518988,0.580590717299578,-0.006751054852320748,7,15,-8,0.00590717299578059,0.012658227848101266,-0.006751054852320675,22,0.018565400843881856,0.5864978902953587,0.6278481012658228,0.6092827004219409,0.5733552384335657,0.5588067029300244,-0.014548535503541325,-0.000781688226174705
fg_std_60_q20_80,high_20pct,1445,0.5162629757785467,0.5176470588235295,0.0013840830449827202,24,22,2,0.01660899653979239,0.01522491349480969,0.001384083044982699,46,0.03183391003460208,0.4083044982698962,0.6775086505190312,0.6456747404844291,0.5975581965953833,0.5802083768440366,-0.017349819751346765,0.003925646686842697
fg_std_60_q20_80,low_20pct,1445,0.6041522491349481,0.6069204152249135,0.0027681660899653293,17,13,4,0.011764705882352941,0.008996539792387544,0.002768166089965398,30,0.020761245674740483,0.5640138408304498,0.6442906574394464,0.6235294117647059,0.5926496549203322,0.5787087477163563,-0.013940907203975802,-0.00037554706798086627
fg_std_60_q20_80,middle_60pct,4315,0.5921205098493627,0.5928157589803013,0.0006952491309385467,54,51,3,0.012514484356894553,0.011819235225955968,0.0006952491309385864,105,0.02433371958285052,0.578215527230591,0.6667439165701042,0.6424101969872538,0.5998311910020707,0.5833301697994733,-0.016501021202597485,-0.0021766834785494856
fg_value_q20_80,high_20pct,1630,0.5773006134969325,0.5803680981595092,0.0030674846625766694,30,25,5,0.018404907975460124,0.015337423312883436,0.003067484662576687,55,0.03374233128834356,0.558282208588957,0.7,0.6662576687116565,0.6222928337387147,0.602192158129729,-0.020100675608985586,-0.002690310795660035
fg_value_q20_80,low_20pct,1450,0.516551724137931,0.5124137931034483,-0.004137931034482789,14,20,-6,0.009655172413793104,0.013793103448275862,-0.004137931034482759,34,0.023448275862068966,0.5103448275862069,0.6724137931034483,0.6489655172413793,0.6070546061577725,0.5919061854166975,-0.015148420741075024,-0.000632447599080103
fg_value_q20_80,middle_60pct,4125,0.6021818181818182,0.6046060606060606,0.00242424242424244,51,41,10,0.012363636363636363,0.009939393939393939,0.0024242424242424242,92,0.022303030303030304,0.5454545454545454,0.6475151515151515,0.6252121212121212,0.5851043482887925,0.5701497554106243,-0.014954592878168232,0.00025206311634092584
finbert_confidence_weighted_sentiment_mean_20d_q20_80,high_20pct,1445,0.6242214532871972,0.6290657439446367,0.0048442906574394096,32,25,7,0.022145328719723183,0.01730103806228374,0.004844290657439446,57,0.03944636678200692,0.6089965397923875,0.7231833910034602,0.6837370242214533,0.6334120096413219,0.612886845449366,-0.02052516419195588,-0.0031849236056775807
finbert_confidence_weighted_sentiment_mean_20d_q20_80,low_20pct,1445,0.5550173010380622,0.5501730103806228,-0.0048442906574394096,10,17,-7,0.006920415224913495,0.011764705882352941,-0.004844290657439446,27,0.018685121107266434,0.5467128027681661,0.6899653979238755,0.671280276816609,0.6106360244000762,0.597007100579287,-0.013628923820789248,-0.0010946693150229944
finbert_confidence_weighted_sentiment_mean_20d_q20_80,middle_60pct,4315,0.5724217844727694,0.5745075318655851,0.002085747392815751,53,44,9,0.012282734646581691,0.010196987253765933,0.002085747392815759,97,0.022479721900347624,0.5168018539976825,0.6361529548088065,0.6136732329084589,0.5818012805154864,0.5662591368860003,-0.015542143629486103,0.00044531089449053175
